"id","code","name"
"unique_report_table_10_1","1","Por acidente de trabalho"
"unique_report_table_10_2","2","Por doença profissional certificada"
"unique_report_table_10_3","3","Por doença profissional não certificada"
"unique_report_table_10_4","4","Por doença não profissional"
"unique_report_table_10_5","5","Por assistência inadiável a filho neto ou a agregado familiar"
"unique_report_table_10_6","6","De trabalhadores estudantes"
"unique_report_table_10_7","7","Por falecimento do cônjuge parente ou afim"
"unique_report_table_10_8","8","Por maternidade"
"unique_report_table_10_9","9","Por paternidade"
"unique_report_table_10_10","10","De candidatos a eleições para cargos públicos durante a campanha eleitoral e de membros de mesas de assembleias de voto"
"unique_report_table_10_11","11","Por greve"
"unique_report_table_10_12","12","Por exercício de funções de membros de estruturas de representação coletiva de trabalhadores"
"unique_report_table_10_13","13","Ausências autorizadas ou aprovadas pelo empregador"
"unique_report_table_10_14","14","Outras ausências justificadas"
"unique_report_table_10_15","15","Ausências injustificadas"
