"id","code","name"
"unique_report_table_13_10","10","Contrato de trabalho sem termo Contrato de trabalho em que não se prevê a sua cessação quando ocorra um qualquer facto futuro."
"unique_report_table_13_11","11","Contrato de trabalho para prestação subordinada de teletrabalho sem termo Contrato de trabalho em que a atividade a que o trabalhador se obriga é realizada habitualmente fora da empresa e através de recurso a tecnologias de informação e de comunicação, em que não se prevê a sua cessação quando ocorra um qualquer facto futuro."
"unique_report_table_13_12","12","Contrato de trabalho em comissão de serviço sem termo Contrato de trabalho em comissão de serviço em que a cessação da prestação da atividade em comissão de serviço não implica a cessação do contrato de trabalho."
"unique_report_table_13_13","13","Contrato de trabalho intermitente sem termo Contrato de trabalho pelo qual o trabalhador se obriga a prestar atividade intercalada por um ou mais períodos de inatividade."
"unique_report_table_13_14","14","Contrato de trabalho por tempo indeterminado para cedência temporária Contrato de trabalho por tempo indeterminado celebrado entre uma empresa de trabalho temporário e um trabalhador pelo qual este se obriga mediante retribuição daquela a prestar temporariamente a sua atividade a utilizadores mantendo-se vinculado à empresa de trabalho temporário."
"unique_report_table_13_15","20","Contrato de trabalho com termo certo Contrato de trabalho em que se prevê a sua cessação quando ocorra determinado facto futuro cuja data em que ocorrerá é antecipadamente conhecida."
"unique_report_table_13_16","21","Contrato de trabalho para prestação subordinada de teletrabalho com termo certo Contrato de trabalho em que a atividade a que o trabalhador se obriga é realizada habitualmente fora da empresa e através de recurso a tecnologias de informação e de comunicação, em que se prevê a sua cessação quando ocorra um qualquer facto futuro cuja data em que ocorrerá é antecipadamente conhecida."
"unique_report_table_13_17","22","Contrato de trabalho em comissão de serviço com termo certo Contrato de trabalho em comissão de serviço em que a cessação da prestação da atividade em comissão de serviço a ocorrer quando determinado facto futuro cuja data em que ocorrerá é antecipadamente conhecida implica a cessação do contrato de trabalho."
"unique_report_table_13_18","23","Contrato de trabalho temporário com termo certo Contrato de trabalho a termo certo celebrado entre uma empresa de trabalho temporário e um trabalhador pelo qual este se obriga mediante retribuição daquela a prestar a sua atividade a utilizadores mantendo-se vinculado à empresa de trabalho temporário (revê-se que a sua cessação quando ocorra determinado facto futuro cuja data em que ocorrerá é antecipadamente conhecida)."
"unique_report_table_13_19","30","Contrato de trabalho com termo incerto Contrato de trabalho em que se prevê a sua cessação quando ocorra determinado facto futuro cuja data em que ocorrerá não é antecipadamente conhecida."
"unique_report_table_13_20","31","Contrato de trabalho para prestação subordinada de teletrabalho com termo incerto Contrato de trabalho em que a atividade a que o trabalhador se obriga é realizada habitualmente fora da empresa e através de recurso a tecnologias de informação e de comunicação, em que se prevê a sua cessação quando ocorra um qualquer facto futuro cuja data em que ocorrerá não é antecipadamente conhecida."
"unique_report_table_13_21","32","Contrato de trabalho em comissão de serviço com termo incerto Contrato de trabalho em comissão de serviço em que a cessação da prestação da atividade em comissão de serviço a ocorrer quando determinado facto futuro cuja data em que ocorrerá não é antecipadamente conhecida implica a cessação do contrato de trabalho."
"unique_report_table_13_22","33","Contrato de trabalho temporário com termo incerto Contrato de trabalho a termo incerto celebrado entre uma empresa de trabalho temporário e um trabalhador pelo qual este se obriga, mediante retribuição daquela, a prestar a sua atividade a utilizadores, mantendo-se vinculado à empresa de trabalho temporário, (em que se prevê que a sua cessação quando ocorra determinado facto futuro cuja data em que ocorrerá não é antecipadamente conhecida)."
"unique_report_table_13_23","80","Outra situação Caso não se enquadre nos códigos anteriores p.ex. contrato de trabalho de muito curta duração inclui nomeadamente o contrato de trabalho em atividade sazonal no setor agrícola ou do turismo de duração não superior a 35 dias não está sujeito a forma escrita."
